id,titre,description,description_en,url_fiche,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,adresse_principale,lat,long,source,sustainability_score,badge,badge_icon,eco_flag,free_flag,score_breakdown,score_reasons,wheelchair_metro_accessible,wheelchair_metro_m,wheelchair_metro_gap_m,wheelchair_note
87905,Dans l’œil du lièvre -  Christine Sioui Wawanoloath,"Christine Sioui Wawanoloath présente un monde de magie et d’apparitions où la couleur et la lumière rappellent la technique du vitrail, Illustrations lumineuses",Christine Sioui Wawanoloath presents a world of magic and apparitions where color and light evoke the art of stained glass; luminous illustrations,https://montreal.ca/evenements/dans-loeil-du-lievre-christine-sioui-wawanoloath-87905,2025-06-25,2027-06-25,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Mercier–Hochelaga-Maisonneuve,nan,45.553583493785,-73.539622314344,city,83.5,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Metro within 940 m + BIXI 41 m', 'Indoor venue', 'Walk-in (no registration)']",False,940.0,0,Nearest accessible metro 940 m
101284,Exposition - Lueurs intimes d’Alain Lucien,"Exposition, Lueurs intimes, Alain Lucien","Exhibition, ""Intimate Glimmers,"" Alain Lucien",https://montreal.ca/evenements/exposition-lueurs-intimes-dalain-lucien-101284,2026-06-27,2026-07-30,Exposition,Adultes,En salle,Entrée libre,Gratuit,Lachine,nan,45.440449,-73.691033,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 70 m', 'Indoor venue', 'Walk-in (no registration)']",False,,142,No accessible metro station nearby
102261,AV POESIA : Trouve ton poème,av poésia poésie stéphanie filion exposition poème,av poésia poetry stéphanie filion exhibition poem,https://montreal.ca/evenements/av-poesia-trouve-ton-poeme-102261,2026-05-01,2026-08-31,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Mercier–Hochelaga-Maisonneuve,nan,45.550621,-73.540722,city,83.5,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Metro within 918 m + BIXI 63 m', 'Indoor venue', 'Walk-in (no registration)']",False,919.0,0,Nearest accessible metro 918 m
102289,Homebody - Lauren Francescone et Rebecca Ramsey,L'arrondissement d'Outremont présente gratuitement l'exposition Homebody du 9 septembre au 1er novembre 2026 à la Galerie.,"The Outremont borough is presenting the ""Homebody"" exhibition free of charge from September 9 to November 1, 2026, at the Galerie.",https://montreal.ca/evenements/homebody-lauren-francescone-et-rebecca-ramsey-102289,2026-09-09,2026-11-01,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Outremont,nan,45.517934,-73.608452,city,83.5,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Metro within 577 m + BIXI 218 m', 'Indoor venue', 'Walk-in (no registration)']",False,1649.0,1071,Nearest accessible metro 1649 m
102310,"Faire tenir, parmi, récolter - Marjolaine Bourdua","L'arrondissement d'Outremont présente gratuitement l'exposition Faire tenir, parmi, récolter du 11 novembre 2026 au 10 janvier 2027 à la Galerie.","The Outremont borough is presenting the free exhibition *Faire tenir, parmi, récolter* from November 11, 2026, to January 10, 2027, at the Galerie.",https://montreal.ca/evenements/faire-tenir-parmi-recolter-marjolaine-bourdua-102310,2026-11-11,2027-01-10,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Outremont,nan,45.517934,-73.608452,city,83.5,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Metro within 577 m + BIXI 218 m', 'Indoor venue', 'Walk-in (no registration)']",False,1649.0,1071,Nearest accessible metro 1649 m
102277,Architectures et espaces de vie - Ann Bilodeau,L'arrondissement d'Outremont présente gratuitement l'exposition Architectures et espaces de vie du 17 juin au 30 août 2026 à la bibliothèque.,"The Outremont borough is presenting the free exhibition ""Architecture and Living Spaces"" from June 17 to August 30, 2026, at the library.",https://montreal.ca/evenements/architectures-et-espaces-de-vie-ann-bilodeau-102277,2026-06-17,2026-08-30,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Outremont,nan,45.517934,-73.608452,city,83.5,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Metro within 577 m + BIXI 218 m', 'Indoor venue', 'Walk-in (no registration)']",False,1649.0,1071,Nearest accessible metro 1649 m
102309,L’inquiétude des paysages : entre chaos et persistance - Hervé Mbelo,L'arrondissement d'Outremont présente gratuitement l'exposition L’inquiétude des paysages : entre chaos et persistance du 11 novembre au 20 décembre 2026.,"The Outremont borough is presenting the free exhibition *The Anxiety of Landscapes: Between Chaos and Persistence* from November 11 to December 20, 2026.",https://montreal.ca/evenements/linquietude-des-paysages-entre-chaos-et-persistance-herve-mbelo-102309,2026-11-11,2026-12-20,Exposition,Pour tous,À l'extérieur,Entrée libre,Gratuit,Outremont,nan,45.517934,-73.608452,city,95.5,Green Leader,🌿🌿🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 20.0, 'walkin_access': 35.0}","['Metro within 577 m + BIXI 218 m', 'Outdoor venue', 'Walk-in (no registration)']",False,1649.0,1071,Nearest accessible metro 1649 m
107927,Embarquez avec nous!,"Exposition photographique ""Embarquez avec nous!"" sur la mobilité durable pour les personnes en situation de handicap.","""Come Along for the Ride!"" photography exhibition on sustainable mobility for people with disabilities.",https://montreal.ca/evenements/embarquez-avec-nous-107927,2026-05-22,2026-07-30,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Côte-des-Neiges–Notre-Dame-de-Grâce,nan,45.466297169481,-73.630973995251,city,76.8,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 33.8, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 30 m + BIXI 83 m', 'Indoor venue', 'Walk-in (no registration)']",False,1713.0,0,Nearest accessible metro 1712 m
107945,Station de coloriage libre,Activité gratuite dimanche 12 juillet 2026 10h30 à 11h30 à la bibliothèque Hélène-Charbonneau dans l'arrondissement Ahuntsic-Cartierville enfants 3-5 ans.,"Free activity on Sunday, July 12, 2026, from 10:30 a.m. to 11:30 a.m. at the Hélène-Charbonneau Library in the Ahuntsic-Cartierville borough for children ages 3–5.",https://montreal.ca/evenements/station-de-coloriage-libre-107945,2026-07-22,2026-07-22,Jeux,Pour tous,En salle,Entrée libre,Gratuit,Ahuntsic-Cartierville,nan,45.553373,-73.662956,city,88.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 45.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Metro within 457 m + BIXI 54 m', 'Indoor venue', 'Walk-in (no registration)']",True,457.0,0,Accessible metro 457 m
108060,Ciné-club (Adultes),"Cinéma, films, ONF","Movies, Films, NFB",https://montreal.ca/evenements/cine-club-adultes-108060,2026-07-26,2026-07-26,Cinéma,Adultes,En salle,Sur inscription,Gratuit,Ville-Marie,nan,45.523001,-73.562746,city,59.0,Getting There,🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Metro within 667 m + BIXI 148 m', 'Indoor venue', 'Registration required']",False,929.0,262,Nearest accessible metro 929 m
99463,Ko tè a tounen istwa (Là où la terre se fait récit) | Richarson Dorvil,Nouvelle exposition de Richarson Dorvil mettant en lumière le patrimoine culturel d'Haïti au Parc Louis-Querbes,New exhibition by Richardson Dorvil highlighting Haiti's cultural heritage at Louis-Querbes Park,https://montreal.ca/evenements/ko-te-tounen-istwa-la-ou-la-terre-se-fait-recit-richarson-dorvil-99463,2025-09-30,2030-04-30,Exposition,Pour tous,En salle,Entrée libre,Gratuit,Montréal-Nord,nan,45.595516499269,-73.634014924878,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 16 m', 'Indoor venue', 'Walk-in (no registration)']",False,,437,No accessible metro station nearby
93112,Marché aux puces au parc Giuseppe-Garibaldi,"marché aux puces, parc Ladauversière, Saint-Léonard","Flea market, Ladauversière Park, Saint-Léonard",https://montreal.ca/evenements/marche-aux-puces-au-parc-giuseppe-garibaldi-93112,2026-10-03,2026-10-03,Fête et marché,Pour tous,En salle,Entrée libre,Payant,Saint-Léonard,nan,45.586946426691,-73.572081327438,city,76.8,Eco-Friendly,🌿🌿,False,False,"{'transit_access': 33.8, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 187 m + BIXI 141 m', 'Indoor venue', 'Walk-in (no registration)']",False,,799,No accessible metro station nearby
108309,Démarrer un potager de balcon (Semis en jardinière) (Adultes),"jardinage, potager, semis, jardinières","gardening, vegetable garden, seed starting, planters",https://montreal.ca/evenements/demarrer-un-potager-de-balcon-semis-en-jardiniere-adultes-108309,2026-07-29,2026-07-29,Jardinage,Adultes,En salle,Sur inscription,Gratuit,Ville-Marie,nan,45.523001,-73.562746,city,59.0,Getting There,🌿,False,True,"{'transit_access': 40.5, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Metro within 667 m + BIXI 148 m', 'Indoor venue', 'Registration required']",False,929.0,262,Nearest accessible metro 929 m
108741,Cours de barre,Cours de barre. Exercice. Piste de danse. Arrondissement Verdun. Verdun actif. Montréal. Sud-ouest.,Barre class. Exercise. Dance studio. Verdun Borough. Active Verdun. Montreal. Southwest.,https://montreal.ca/evenements/cours-de-barre-108741,2026-07-19,2026-07-19,Sport et plein air,Pour tous,En salle,Entrée libre,Gratuit,Verdun,nan,45.440131874454,-73.57970063976,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 116 m', 'Indoor venue', 'Walk-in (no registration)']",False,1860.0,241,Nearest accessible metro 1860 m
108743,Cours de barre,Cours de barre. Exercice. Piste de danse. Arrondissement Verdun. Verdun actif. Montréal. Sud-ouest.,Barre class. Exercise. Dance studio. Verdun Borough. Active Verdun. Montreal. Southwest.,https://montreal.ca/evenements/cours-de-barre-108743,2026-08-23,2026-08-23,Sport et plein air,Pour tous,En salle,Entrée libre,Gratuit,Verdun,nan,45.440131874454,-73.57970063976,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 116 m', 'Indoor venue', 'Walk-in (no registration)']",False,1860.0,241,Nearest accessible metro 1860 m
108108,The VooDooMonx,"Vibrez au son des The VooDooMonx, musique soul et funk, 13 juillet 2026, 19h, Parc Eusèbe-Ménard, tout public.","Come dance to the music of The VooDooMonx—soul and funk—on July 13, 2026, at 7:00 p.m. at Eusèbe-Ménard Park. Open to all ages.",https://montreal.ca/evenements/voodoomonx-108108,2026-07-13,2026-07-13,Musique,Pour tous,En salle,Entrée libre,Gratuit,Montréal-Nord,nan,45.593470777124,-73.648588657379,city,76.8,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 33.8, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 187 m + BIXI 104 m', 'Indoor venue', 'Walk-in (no registration)']",False,,0,No accessible metro station nearby
108135,Goat : Rêver plus haut,"Assistez au film Goat : Rêver plus haut, inspiré du joueur de la NBA Stephen Curry, le 17 juillet 2026 à 20h30 au parc Le Carignan, pour toute la fmille.","Come see the movie *Goat: Dreaming Bigger*, inspired by NBA player Stephen Curry, on July 17, 2026, at 8:30 p.m. at Le Carignan Park—the whole family is welcome.",https://montreal.ca/evenements/goat-rever-plus-haut-108135,2026-07-17,2026-07-17,Cinéma,Pour tous,En salle,Entrée libre,Gratuit,Montréal-Nord,nan,45.609886308215,-73.615820907243,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 166 m', 'Indoor venue', 'Walk-in (no registration)']",False,,752,No accessible metro station nearby
108629,Lydia et le vaisseau des tempêtes,"Vissionnez le film en 3D produit au Québec, Lydia et le vaisseau des tempêtes, mercredi 22 juillet au parc Aimé-Léonard à 20h30, pour tout public.","Watch the Quebec-produced 3D film, *Lydia and the Storm Ship*, on Wednesday, July 22, at Aimé-Léonard Park at 8:30 p.m. Suitable for all ages.",https://montreal.ca/evenements/lydia-et-le-vaisseau-des-tempetes-108629,2026-07-22,2026-07-22,Cinéma,Pour tous,En salle,Entrée libre,Gratuit,Montréal-Nord,nan,45.608679745139,-73.639262359582,city,76.8,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 33.8, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 218 m + BIXI 68 m', 'Indoor venue', 'Walk-in (no registration)']",False,,66,No accessible metro station nearby
108658,Trio Brasil,"Vivez un voyage au son de la musique du sud avec le Trio Brasil, lundi 17 août au parc Gouin, 19h pour tout public.","Experience a musical journey through the sounds of the South with Trio Brasil on Monday, August 17, at Gouin Park at 7:00 p.m. Open to all ages.",https://montreal.ca/evenements/trio-brasil-108658,2026-08-17,2026-08-17,Musique,Pour tous,En salle,Entrée libre,Gratuit,Montréal-Nord,nan,45.626976522431,-73.62302553496,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 75 m', 'Indoor venue', 'Walk-in (no registration)']",False,,0,No accessible metro station nearby
108791,Crée tes macarons personnalisés !,Activité gratuite jeunes 10 à 13 ans bibliothèque Hélène-Charbonneau arrondissement Ahuntsic-Cartierville création de macarons jeudi 16 juillet 2026.,"Free activity for kids ages 10 to 13 at the Hélène-Charbonneau Library in the Ahuntsic-Cartierville borough: badge-making on Thursday, July 16, 2026.",https://montreal.ca/evenements/cree-tes-macarons-personnalises-108791,2026-07-16,2026-07-16,Art et artisanat,Enfants,En salle,Sur inscription,Gratuit,Ahuntsic-Cartierville,nan,45.553373,-73.662956,city,63.5,Getting There,🌿,False,True,"{'transit_access': 45.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Metro within 457 m + BIXI 54 m', 'Indoor venue', 'Registration required']",True,457.0,0,Accessible metro 457 m
108792,Club des mini-constructeurs,Activité gratuite parents enfants 3 à 6 ans à la bibliothèque Hélène-Charbonneau dans Ahuntsic-Cartierville. Lego Méga blocs club des mini-constructeurs,Free parent-child activity for children ages 3 to 6 at the Hélène-Charbonneau Library in Ahuntsic-Cartierville. Lego Mega Bloks Mini-Builders Club,https://montreal.ca/evenements/club-des-mini-constructeurs-108792,2026-07-26,2026-07-26,Jeux,Famille,En salle,Sur inscription,Gratuit,Ahuntsic-Cartierville,nan,45.553373,-73.662956,city,63.5,Getting There,🌿,False,True,"{'transit_access': 45.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Metro within 457 m + BIXI 54 m', 'Indoor venue', 'Registration required']",True,457.0,0,Accessible metro 457 m
108802,Exploration des plantes médicinales et de la biodiversité de L'Île-des-Sœurs,une marche à la découverte des plantes médicinales et de la biodiversité de L'Île-des-Sœurs,A walk to discover the medicinal plants and biodiversity of L'Île-des-Sœurs,https://montreal.ca/evenements/exploration-des-plantes-medicinales-et-de-la-biodiversite-de-lile-des-soeurs-108802,2026-07-25,2026-07-25,Jardinage,Pour tous,En salle,Sur inscription,Gratuit,Verdun,nan,45.45708820893512,-73.5474710438433,city,52.3,Getting There,🌿,False,True,"{'transit_access': 33.8, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Stop within 295 m + BIXI 59 m', 'Indoor venue', 'Registration required']",False,2688.0,1068,Nearest accessible metro 2688 m
108804,Fabrication de savons,Activité gratuite fabrication savons jeunes 8 à 12 ans bibliothèque Hélène-CHarbonneau arrondissement Ahuntsic-Cartierville,Free soap-making workshop for children ages 8 to 12 at the Hélène-Charbonneau Library in the Ahuntsic-Cartierville borough,https://montreal.ca/evenements/fabrication-de-savons-108804,2026-08-23,2026-08-23,Art et artisanat,Enfants,En salle,Sur inscription,Gratuit,Ahuntsic-Cartierville,nan,45.553373,-73.662956,city,63.5,Getting There,🌿,False,True,"{'transit_access': 45.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Metro within 457 m + BIXI 54 m', 'Indoor venue', 'Registration required']",True,457.0,0,Accessible metro 457 m
108900,Zumba,Zumba. Verdun. Verdun actif. Danz Nuestroamericana. Gymnase. Sud-ouest.,Zumba. Verdun. Active Verdun. Danz Nuestroamericana. Gym. Southwest.,https://montreal.ca/evenements/zumba-108900,2026-10-10,2026-10-10,Sport et plein air,Pour tous,En salle,Entrée libre,Gratuit,Verdun,nan,45.440131874454,-73.57970063976,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 116 m', 'Indoor venue', 'Walk-in (no registration)']",False,1860.0,241,Nearest accessible metro 1860 m
108990,À la recherche des sous-marins,À la recherche des sous-marins,In Search of Submarines,https://montreal.ca/evenements/la-recherche-des-sous-marins-108990,2026-06-14,2026-08-16,Jeux,Enfants,En salle,Entrée libre,Gratuit,Rivière-des-Prairies–Pointe-aux-Trembles,nan,45.667876,-73.494899,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 29 m', 'Indoor venue', 'Walk-in (no registration)']",False,,0,No accessible metro station nearby
109001,Le petit cinéma de l'ONF,Le petit cinéma de l'ONF,The NFB's Little Cinema,https://montreal.ca/evenements/le-petit-cinema-de-lonf-109001,2026-08-09,2026-08-09,Cinéma,Enfants,En salle,Sur inscription,Gratuit,Rivière-des-Prairies–Pointe-aux-Trembles,nan,45.667876,-73.494899,city,45.5,Getting There,🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Stop within 29 m', 'Indoor venue', 'Registration required']",False,,0,No accessible metro station nearby
109003,Poissons-marionnettes,Poissons-marionnettes,Puppet Fish,https://montreal.ca/evenements/poissons-marionnettes-109003,2026-08-16,2026-08-16,Art et artisanat,Enfants,En salle,Sur inscription,Gratuit,Rivière-des-Prairies–Pointe-aux-Trembles,nan,45.667876,-73.494899,city,45.5,Getting There,🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Stop within 29 m', 'Indoor venue', 'Registration required']",False,,0,No accessible metro station nearby
109005,Sentier des contes,Sentier des contes,Fairy Tale Trail,https://montreal.ca/evenements/sentier-des-contes-109005,2026-06-14,2026-08-16,Heure du conte,Famille,En salle,Entrée libre,Gratuit,Rivière-des-Prairies–Pointe-aux-Trembles,nan,45.654278,-73.506988,city,70.0,Eco-Friendly,🌿🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 35.0}","['Stop within 214 m', 'Indoor venue', 'Walk-in (no registration)']",False,,0,No accessible metro station nearby
109011,Voyage en réalité virtuelle,Voyage en réalité virtuelle,Virtual Reality Journey,https://montreal.ca/evenements/voyage-en-realite-virtuelle-109011,2026-07-14,2026-07-14,Jeux,Adultes,En salle,Sur inscription,Gratuit,Rivière-des-Prairies–Pointe-aux-Trembles,nan,45.668123472044996,-73.494866249335,city,45.5,Getting There,🌿,False,True,"{'transit_access': 27.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Stop within 47 m', 'Indoor venue', 'Registration required']",False,,0,No accessible metro station nearby
109032,Plonge au cœur des histoire (3 à 5 ans),Heure du conte Plonge au cœur des histoires pour les 3 à 5 ans : lectures animées pour nourrir l’imaginaire et le plaisir de la lecture.,Storytime: Dive into the world of stories for children ages 3 to 5—engaging readings to spark the imagination and foster a love of reading.,https://montreal.ca/evenements/plonge-au-coeur-des-histoire-3-5-ans-109032,2026-07-18,2026-07-18,Heure du conte,Enfants d'âge préscolaire,En salle,Sur inscription,Gratuit,Ville-Marie,nan,45.532827,-73.551399,city,63.5,Getting There,🌿,False,True,"{'transit_access': 45.0, 'outdoor_green': 8.0, 'walkin_access': 10.5}","['Metro within 68 m + BIXI 115 m', 'Indoor venue', 'Registration required']",False,1024.0,956,Nearest accessible metro 1024 m
